,Model_ds,AUC-ROC,AUC-PR,Applied_Threshold,Balanced_Accuracy,Brier_Score,Brier_Score_Bal,ECE,Calibration_Slope,Accuracy,Recall (Sens),Precision (PPV),Specificity,NPV,True_Positives,False_Positives,True_Negatives,False_Negatives
43,standard3_mcdropout/40% MCAR,0.6685804584054186,0.23562548777475445,0.15389388799667358,0.6468559539559234,0.12000921368598938,0.34786184581993995,0.024023363762701068,0.15967639431970904,0.6270783847980997,0.6747967479674797,0.23249299719887956,0.6189151599443672,0.9175257731958762,166,548,890,80
44,standard3/60% MCAR,0.6594920677996766,0.23370757644335194,0.15740513801574707,0.6278678607370218,0.1202278584241867,0.34594370941425234,0.015418235460327242,0.15156653749940635,0.6205463182897862,0.6382113821138211,0.22206506364922207,0.6175243393602226,0.9089048106448311,157,550,888,89
45,standard3_mcdropout/60% MCAR,0.6600517882786616,0.2339289682862245,0.1549590528011322,0.6256204982077638,0.12020615488290787,0.3455528348225232,0.01692602006085836,0.15271956851562643,0.6080760095011877,0.6504065040650406,0.21798365122615804,0.6008344923504868,0.9094736842105263,160,574,864,86
46,standard3/10% Temporal,0.6884505354093875,0.2574874919702437,0.16871683299541473,0.6659034114680507,0.11862944811582565,0.34635337587015746,0.032873483779541524,0.18585435059775957,0.7114014251781473,0.6016260162601627,0.27611940298507465,0.7301808066759388,0.9146341463414634,148,388,1050,98
47,standard3_mcdropout/10% Temporal,0.6871445209584223,0.25704539815596317,0.1689724177122116,0.663175480850775,0.1186971589922905,0.3461888615615723,0.03270150193249952,0.18549906479466258,0.7096199524940617,0.5975609756097561,0.2737430167597765,0.7287899860917941,0.9136878814298169,147,390,1048,99
48,standard3/20% Temporal,0.6854455714237253,0.2588937099153833,0.15171518921852112,0.6441280233386479,0.11853853613138199,0.34599919856128364,0.028391548633717022,0.1849433462900997,0.6252969121140143,0.6707317073170732,0.23076923076923078,0.6175243393602226,0.9164086687306502,165,550,888,81
49,standard3_mcdropout/20% Temporal,0.6851756052331037,0.25881247947234925,0.18187153339385986,0.6453407510431155,0.11857596784830093,0.3457888751674416,0.027308357317628883,0.18524437229585164,0.7482185273159145,0.5,0.29009433962264153,0.7906815020862309,0.9023809523809524,123,301,1137,123
50,standard3/40% Temporal,0.6878992955437204,0.27810145827747323,0.15998466312885284,0.6537846150366928,0.11776763945817947,0.340290994193834,0.029906961721790654,0.1878716997995668,0.6561757719714965,0.6504065040650406,0.2450229709035222,0.6571627260083449,0.9165858389912707,160,493,945,86
51,standard3_mcdropout/40% Temporal,0.6870936372785146,0.2783609488948547,0.15904495120048523,0.6506015581713536,0.11780065298080444,0.33995804908641025,0.027973200482119428,0.18830629432390966,0.6478622327790974,0.6544715447154471,0.2406576980568012,0.6467315716272601,0.916256157635468,161,508,930,85
52,standard3/60% Temporal,0.6584206836505082,0.2380327880792788,0.17214316129684448,0.6222536947205355,0.12029469013214111,0.3415937602451788,0.028751373594082585,0.1434546789616414,0.6454869358669834,0.5894308943089431,0.22620904836193448,0.655076495132128,0.9031639501438159,145,496,942,101
53,standard3_mcdropout/60% Temporal,0.6583528387439647,0.2389479081495876,0.1721937358379364,0.6215045738774495,0.12029028683900833,0.34121520572158137,0.026657739262629713,0.14448478324465266,0.6413301662707839,0.5934959349593496,0.2246153846153846,0.6495132127955494,0.9032882011605415,146,504,934,100
54,standard4/0%,0.6831586326989834,0.2653229323838136,0.20787601172924042,0.6490807015163336,0.12029018998146057,0.3239375175564307,0.049261627621470905,0.21379315360518164,0.6941805225653207,0.5853658536585366,0.2585278276481149,0.7127955493741307,0.9094942324755989,144,413,1025,102
55,standard4_mcdropout/0%,0.6828024469396294,0.26334442192252905,0.20072564482688904,0.6505761163313998,0.12036757916212082,0.3238546230641167,0.049528966571542835,0.21365764700457895,0.665083135391924,0.6300813008130082,0.24681528662420382,0.6710709318497914,0.9138257575757576,155,473,965,91
56,standard4/10% MCAR,0.6777395207888102,0.25984396487174755,0.19941675662994385,0.6405463776473648,0.1206854060292244,0.3240374335045036,0.04333385623407477,0.2061955061274781,0.6508313539192399,0.6260162601626016,0.23692307692307693,0.655076495132128,0.9110251450676983,154,496,942,92
57,standard4_mcdropout/10% MCAR,0.6767218471906555,0.2593641028800928,0.19964846968650818,0.6423386139285593,0.12076161801815033,0.32396424315492217,0.04365847788467968,0.20617281644972382,0.6567695961995249,0.6219512195121951,0.23981191222570533,0.6627260083449235,0.9110898661567878,153,485,953,93
58,standard4/20% MCAR,0.6818384838924885,0.2650764089591475,0.1945585310459137,0.6487019007881316,0.12037831544876099,0.32332753844354833,0.042919022042189246,0.20963834345422125,0.6359857482185273,0.6666666666666666,0.23597122302158274,0.6307371349095967,0.917087967644085,164,531,907,82
59,standard4_mcdropout/20% MCAR,0.6825508554111965,0.26612459396493665,0.18899624049663544,0.6471753903908997,0.12037879973649979,0.32306075497465225,0.04558026692398654,0.21122210762947602,0.6074821852731591,0.7032520325203252,0.22733245729303547,0.5910987482614742,0.9209100758396533,173,588,850,73
60,standard4/40% MCAR,0.6650412157807253,0.23203755739392837,0.19284716248512268,0.6404361296742314,0.1221458911895752,0.3254471389295798,0.04529601999618238,0.17874944638054852,0.6074821852731591,0.6869918699186992,0.2244355909694555,0.5938803894297635,0.9172932330827067,169,584,854,77
61,standard4_mcdropout/40% MCAR,0.6649818514874996,0.23171225627522948,0.19539503753185272,0.6414000927213723,0.12218516319990158,0.3252460003613543,0.04566511629932426,0.17911008702114148,0.6235154394299287,0.6666666666666666,0.22905027932960895,0.6161335187760779,0.9152892561983471,164,552,886,82
62,standard4/60% MCAR,0.6562637809966417,0.22615390470580166,0.19683334231376648,0.626315908499836,0.12274806946516037,0.3243993211745747,0.048038990845164886,0.16846118062560272,0.6092636579572447,0.6504065040650406,0.2185792349726776,0.6022253129346314,0.9096638655462185,160,572,866,86
63,standard4_mcdropout/60% MCAR,0.6565295068806043,0.2259767630792698,0.1973511129617691,0.6246310933206689,0.12278493493795395,0.3241687608630668,0.048454645600815846,0.16916983358415635,0.6092636579572447,0.6463414634146342,0.21780821917808219,0.6029207232267038,0.9088050314465409,159,571,867,87
64,standard4/10% Temporal,0.6820222305143774,0.24929294751184278,0.19686967134475708,0.6522863733505206,0.12088128924369812,0.32398952814709325,0.04678644150530923,0.20430905395858975,0.6478622327790974,0.6585365853658537,0.2414307004470939,0.6460361613351877,0.9170779861796644,162,509,929,84
65,standard4_mcdropout/10% Temporal,0.6818978481857141,0.24909285736797543,0.197006955742836,0.6550143039677963,0.1209246888756752,0.32377925976387456,0.0459299173312275,0.2051561577986965,0.649643705463183,0.6626016260162602,0.24328358208955222,0.6474269819193325,0.9181459566074951,163,507,931,83
66,standard4/20% Temporal,0.6777734432420819,0.25568870586151626,0.19650724530220032,0.6461351018238972,0.12069757282733917,0.3234672469153522,0.04707530162556014,0.2041435755825561,0.6431116389548693,0.6504065040650406,0.23703703703703705,0.6418636995827538,0.9147670961347869,160,515,923,86
67,standard4_mcdropout/20% Temporal,0.6774653142915295,0.255675680590655,0.19681566953659058,0.6430057555095718,0.12073751538991928,0.32326571672561005,0.049383827951911506,0.20457279002823767,0.6377672209026128,0.6504065040650406,0.23391812865497075,0.6356050069541029,0.914,160,524,914,86
68,standard4/40% Temporal,0.6736349039429199,0.25512035343003964,0.19931261241436005,0.6470170856089645,0.12113948911428452,0.32128351270209565,0.047150495251963645,0.19777084559989963,0.6359857482185273,0.6626016260162602,0.2352092352092352,0.631432545201669,0.9162462159434914,163,530,908,83
69,standard4_mcdropout/40% Temporal,0.6743515157682871,0.2556516449359214,0.20165108144283295,0.650895552766376,0.12116647511720657,0.3210868292966545,0.04740126803959775,0.19896733790268253,0.6454869358669834,0.6585365853658537,0.24,0.6432545201668984,0.9167492566897919,162,513,925,84
70,standard4/60% Temporal,0.6557577710686704,0.23061228104814024,0.21069277822971344,0.6224402682135306,0.12294726818799973,0.32151529701311166,0.05172129761153331,0.16330605137056134,0.6371733966745843,0.6016260162601627,0.22390317700453857,0.6432545201668984,0.9042033235581622,148,513,925,98
